ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products
1,Apple,1988,Mar,Network Innovations,Software,-,-,-,-
2,Apple,1988,Jun,Orion Network Systems,Computer Software,-,-,-,-
3,Apple,1988,Jun,Styleware,Computer software,-,-,-,-
4,Apple,1988,Jul,Nashoba Systems,Computer software,-,-,-,-
5,Apple,1989,Jan,Coral Software,Computer software,-,-,-,-
6,Apple,1997,Feb,NeXT,Unix-like hardware and software platform,-,404000000,-,-
7,Apple,1997,Sep,Power Computing Corporation,Macintosh clones,-,110000000,-,-
8,Apple,1999,Jan,Xemplar Education,Software,-,4926000,-,-
9,Apple,1999,Nov,Raycer Graphics,Computer graphic chips,-,15000000,-,-
10,Apple,2000,Jan,NetSelector,Internet software,-,-,-,-
11,Apple,2000,Apr,Astarte-DVD Authoring Software,Software,-,-,-,-
12,Apple,2000,-,SoundJam MP,Software,-,-,-,-
13,Apple,2001,-,Bluefish Labs,Productivity software,-,-,-,-
14,Apple,2001,May,bluebuzz,Internet service provider (ISP),-,-,-,-
15,Apple,2001,Jul,Spruce Technologies,Graphics software,-,14900000,-,-
16,Apple,2001,Dec,PowerSchool,Online info systems services,-,66100000,-,-
17,Apple,2002,Feb,Nothing Real,Special effects software,-,15000000,-,-
18,Apple,2002,Apr,Zayante,FireWire chips and software,-,13000000,-,-
19,Apple,2002,Jun,Silicon Grail Corp-Chalice,Digital effects software,-,20000000,-,-
20,Apple,2002,Jun,Propel Software,internet and network optimization for wireless carriers,-,-,-,-
21,Apple,2002,Jun,Prismo Graphics,Special-effects titling software for film and video,-,20000000,-,-
22,Apple,2002,Jul,Emagic,Music production software,-,30000000,-,-
23,Apple,2005,Mar,SchemaSoft,Software,-,-,-,-
24,Apple,2005,Apr,FingerWorks,Gesture recognition company,-,-,-,-
25,Apple,2006,Oct,Silicon Color,Software,-,-,-,-
26,Apple,2006,Dec,Proximity,Software,-,-,-,-
27,Apple,2008,Apr,P.A. Semi,Semiconductors,-,278000000,-,-
28,Apple,2009,Jul,Placebase,Maps,-,-,-,-
29,Apple,2009,Dec,Lala.com,Music streaming,-,17000000,-,-
30,Apple,2010,Jan,Quattro Wireless,Mobile advertising,-,275000000,-,-
31,Apple,2010,Apr,Intrinsity,Semiconductors,-,121000000,-,-
32,Apple,2010,Apr,Siri,Voice control software,-,-,-,-
33,Apple,2010,May,Gipsy Moth Studios,Application Regionalization Firm,-,12000000,-,-
34,Apple,2010,Jul,Poly9,Web-based mapping,-,-,-,-
35,Apple,2010,Sep,Polar Rose,Facial recognition,-,29000000,-,-
36,Apple,2010,Sep,IMSense,High-dynamic-range (HDR) photography,-,-,-,-
37,Apple,2011,Aug,C3 Technologies,3D mapping,-,267000000,-,-
38,Apple,2011,Dec,Anobit,Flash memory,-,500000000,-,-
39,Apple,2012,Feb,Chomp,App search engine,-,50000000,-,-
